,QRS mean diff,Qtc mean diff,T peak end diff,Twave_amp diff
,Dofetilide 2014,,,
,0.0149199997300942,0.00644779514038736,0.0330149188915578,0.0285587022788742
,0.0194302116982675,0.00749583587236201,0.0179872968903288,0.0219928953919571
,0.0135531031300876,0.000969012363057712,0.0219860015427801,0.0163581698334508
,0.0103900103789653,0.00936345087122648,0.0329114131087326,0.0692959799050384
,0.0117826130047474,0.000344462924374981,0.0803919270409083,0.0463089719342371
,0.0119113184852715,0.00978883793976486,0.0843709464261886,0.00774092947508387
,0.0157590065100643,0.000411048279351074,0.0576687546221545,0.00925697872656248
,0.0119371291496212,0.0093017027879151,0.0654743143188654,0.0755448567108381
,0.0168523340131346,0.00321882588264709,0.0628569047514426,0.00725292764086514
,0.00895821392376206,0.000896342905350901,0.0825866373067959,0.00173821070822763
,0.00251230983543149,0.00524966835551713,0.082597386250724,0.00131459789754535
